DSName,HANN15,HANN100,SNN,DENN
abalone,63.41,65.13,66.57,66.38
acute-inflammation,100.0,100.0,100.0,100.0
acute-nephritis,100.0,100.0,100.0,100.0
adult,84.32,85.04,84.76,84.8
annealing,47.0,74.0,76.0,75.0
arrhythmia,62.83,64.6,65.49000000000001,67.25999999999999
audiology-std,56.0,68.0,80.0,76.0
balance-scale,92.95,96.79,92.31,98.08
balloons,100.0,100.0,100.0,100.0
bank,88.5,88.05,89.03,89.64999999999999
blood,75.94,75.4,77.01,73.26
breast-cancer,70.42,63.38,71.83,69.01
breast-cancer-wisc,97.71,98.29,97.14,97.71
breast-cancer-wisc-diag,97.89,98.59,97.89,98.59
breast-cancer-wisc-prog,73.47,71.43,67.35,71.43
breast-tissue,61.54,80.77,73.08,65.38000000000001
car,98.84,100.0,98.38,98.83999999999999
cardiotocography-10clases,78.91,82.11,83.99,82.3
cardiotocography-3clases,90.58,93.97,91.53,94.35
chess-krvk,47.75,72.77,88.05,80.41
chess-krvkp,98.62,99.37,99.11999999999999,99.62
congressional-voting,61.47,57.8,61.47,57.8
conn-bench-sonar-mines-rocks,78.85,84.62,78.85,82.69
conn-bench-vowel-deterding,89.39,98.92,99.57000000000001,99.35000000000001
connect-4,78.96,86.39,88.07000000000001,86.46000000000001
contrac,52.72,49.73,51.9,54.89000000000001
credit-approval,81.98,79.65,84.3,82.56
cylinder-bands,69.53,73.44,72.66,78.12
dermatology,98.9,97.8,92.31,97.8
echocardiogram,84.85,87.88,81.82000000000001,87.88
ecoli,86.9,84.52,89.29,85.71
energy-y1,93.23,97.4,95.83,95.83
energy-y2,89.06,91.15,90.63,90.62
fertility,92.0,92.0,92.0,88.0
flags,39.58,50.0,45.83,52.080000000000005
glass,77.36,60.38,73.58,60.38
haberman-survival,72.37,65.79,73.68,65.79
hayes-roth,71.43,82.14,67.86,85.71
heart-cleveland,53.95,59.21,61.839999999999996,57.89
heart-hungarian,72.6,79.45,79.45,78.08
heart-switzerland,45.16,51.61,35.480000000000004,48.39
heart-va,36.0,30.0,36.0,32.0
hepatitis,82.05,82.05,76.92,79.49000000000001
hill-valley,66.83,68.81,52.480000000000004,54.620000000000005
horse-colic,80.88,83.82,80.88,82.35
ilpd-indian-liver,70.55,69.18,69.86,71.92
image-segmentation,87.76,90.57,91.14,90.57
ionosphere,89.77,87.5,88.64,96.59
iris,100.0,97.3,97.3,100.0
led-display,73.6,75.2,76.4,76.0
lenses,50.0,66.67,66.67,66.67
letter,81.82,96.86,97.26,96.2
libras,64.44,81.11,78.89,77.78
low-res-spect,86.47,90.23,85.71,90.23
lung-cancer,37.5,62.5,62.5,62.5
lymphography,89.19,94.59,91.89,94.59
magic,86.52,87.49,86.92,86.81
mammographic,81.25,80.0,82.5,80.83
molec-biol-promoter,73.08,80.77,84.61999999999999,88.46000000000001
molec-biol-splice,79.05,78.04,90.09,85.45
monks-1,65.97,69.91,75.22999999999999,81.71000000000001
monks-2,66.2,66.44,59.260000000000005,65.05
monks-3,54.63,61.81,60.419999999999995,80.08999999999999
mushroom,100.0,100.0,100.0,100.0
musk-1,77.31,84.87,87.39,89.92
musk-2,97.21,98.61,98.91,99.27
nursery,99.75,99.91,99.78,100.0
oocytes-merluccius-nucleus-4d,86.27,83.14,82.35,83.91999999999999
oocytes-merluccius-states-2f,92.16,92.55,95.28999999999999,92.94
oocytes-trisopterus-nucleus-2f,81.14,82.02,79.82000000000001,82.46
oocytes-trisopterus-states-5b,93.86,96.05,93.42,94.74000000000001
optical,93.1,95.94,97.11,96.38
ozone,96.53,95.58,97.0,97.48
page-blocks,96.49,96.13,95.83,96.13000000000001
parkinsons,87.76,89.8,89.8,85.71
pendigits,94.4,97.11,97.06,97.37
pima,71.88,73.44,75.52,69.78999999999999
pittsburg-bridges-MATERIAL,88.46,92.31,88.46000000000001,92.31
pittsburg-bridges-REL-L,76.92,73.08,69.23,73.08
pittsburg-bridges-SPAN,60.87,69.57,69.57,73.91
pittsburg-bridges-T-OR-D,84.0,84.0,84.0,84.0
pittsburg-bridges-TYPE,65.38,65.38,65.38000000000001,57.69
planning,66.67,55.56,68.89,60.0
plant-margin,50.5,79.5,81.25,83.25
plant-shape,39.0,66.5,72.75,72.5
plant-texture,51.75,75.25,81.25,81.0
post-operative,40.91,63.64,72.72999999999999,68.17999999999999
primary-tumor,54.88,47.56,52.44,53.66
ringnorm,90.43,85.35,97.50999999999999,97.57000000000001
seeds,92.31,96.15,88.46000000000001,92.31
semeion,74.37,92.71,91.96,96.73
soybean,77.93,88.83,85.11,88.03
spambase,93.57,94.17,94.08999999999999,94.87
spect,62.9,63.44,63.980000000000004,62.370000000000005
spectf,91.98,91.98,49.730000000000004,89.3
statlog-australian-credit,65.12,63.37,59.88,61.050000000000004
statlog-german-credit,72.4,72.4,75.6,72.0
statlog-heart,85.07,91.04,92.54,92.54
statlog-image,95.15,96.88,95.49,97.75
statlog-landsat,87.55,89.25,91.0,89.9
statlog-shuttle,99.92,99.92,99.9,99.91
statlog-vehicle,78.67,77.25,80.08999999999999,81.04
steel-plates,73.61,76.49,78.35,77.53
synthetic-control,94.0,98.0,98.67,99.33
teaching,57.89,57.89,50.0,57.89
thyroid,98.37,98.25,98.16,98.22
tic-tac-toe,96.65,97.07,96.65,98.33
titanic,78.73,78.73,78.36,78.73
trains,100.0,50.0,,
twonorm,97.3,98.27,98.05,98.16
vertebral-column-2clases,88.31,85.71,83.12,85.71
vertebral-column-3clases,81.82,80.52,83.12,80.52
wall-following,92.45,94.79,90.98,91.86
waveform,85.84,84.0,84.8,83.91999999999999
waveform-noise,84.72,84.96,86.08,84.32
wine,97.73,100.0,97.72999999999999,100.0
wine-quality-red,62.5,65.0,63.0,63.5
wine-quality-white,54.82,61.03,63.73,62.25000000000001
yeast,59.03,60.65,63.07000000000001,58.220000000000006
zoo,96.0,96.0,92.0,100.0
